track_id,track_name,artist,album,release_date,popularity,genres
3Qm1X6krEOuhWLpgJhOJu7,Aquí,La Ley,La Ley MTV Unplugged,2001-09-04,54,"rock en español, latin rock, latin alternative"
24NmTO8r9zY3Q943PnpT99,¡Ámate y sálvate!,La Ley,Libertad,2003-05-22,38,"rock en español, latin rock, latin alternative"
19kuZ0IExry8qYJ4lU2A0r,Jump - 2004 Remaster,Van Halen,Rhino Hi-Five: Metal,2006-10-06,33,"glam metal, classic rock, rock, hard rock"
11dCfArPrM7kzYpUrFHal9,Panama,Van Halen,1984,1984-01-03,0,"glam metal, classic rock, rock, hard rock"
6OtCIsQZ64Vs1EbzztvAv4,Good Life,OneRepublic,Waking Up,2009-01-01,74,soft pop
1NhPKVLsHhFUHIOZ32QnS2,Secrets,OneRepublic,Waking Up,2009-01-01,78,soft pop
0ZPHHXmmW3nVoDBe3YUdmm,The Middle,Jimmy Eat World,Bleed American,2001-01-01,0,"emo, pop punk"
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers,Hot Fuss,2004-06-15,8,alternative rock
4x3SQvTgvqSTU3nOL1urZh,The Reason,Hoobastank,The Reason,2003-01-01,0,nu metal
5wQnmLuC1W7ATsArWACrgW,Welcome to the Black Parade,My Chemical Romance,The Black Parade,2006-10-20,80,"emo, pop punk"
10Az4R7ziBXMnRSCe0h1k3,Socialize,Puya,Union,2001-01-01,0,"nu metal, groove metal, latin rock, rap metal"
7MgPi4CCdWSEuCG6sEaokk,Si Aja,Puya,Union,2001-01-01,0,"nu metal, groove metal, latin rock, rap metal"
5xo5FvgG39gzb3F5SO98br,Erizo,Puya,Union,2001-01-01,0,"nu metal, groove metal, latin rock, rap metal"
0kO3njY9N1Rxgv27Ha1lLh,Numb,Linkin Park,Meteora (Bonus Edition),2003-03-25,57,"nu metal, rap metal, rock, alternative metal"
2uxL6E8Yq0Psc1V9uBtC4F,Faint,Linkin Park,Meteora (Bonus Edition),2003-03-25,55,"nu metal, rap metal, rock, alternative metal"
62yGPqdGllOTP4r5SxPzSZ,A Matter Of Time,Puya,Union,2001-01-01,0,"nu metal, groove metal, latin rock, rap metal"
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,89,"nu metal, rap metal, rock, alternative metal"
6y8l5sCW9mZoT06YFTNznj,Ride,Puya,Union,2001-01-01,0,"nu metal, groove metal, latin rock, rap metal"
4HcDu9IGRCvSTJE4yW5Ugv,Breaking the Habit,Linkin Park,Meteora (Bonus Edition),2003-03-25,55,"nu metal, rap metal, rock, alternative metal"
1d5UuboIPRMD4HaU3yycKC,Somewhere I Belong,Linkin Park,Meteora (Bonus Edition),2003-03-25,55,"nu metal, rap metal, rock, alternative metal"
1Vej0qeQ3ioKwpI6FUbRv1,Papercut,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,79,"nu metal, rap metal, rock, alternative metal"
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,83,"nu metal, rap metal, rock, alternative metal"
6CDK4htW8KFdmhlYqrWLMJ,Points of Authority / 99 Problems / One Step Closer,JAY-Z,Collision Course,2004,24,"hip hop, east coast hip hop, rap"
57BrRMwf9LrcmuOsyGilwr,Crawling,Linkin Park,Hybrid Theory (Bonus Edition),2000-10-24,81,"nu metal, rap metal, rock, alternative metal"
